0	maf_5to10	maf_10to21	maf_21to50
EosinophilCount	2.475880624461308	1.7468119209229696	4.438662663778753
MenopauseAge	-0.0019305943853765173	7.433788927918551	2.9237102944091964
RA	-0.8689343649004203	0.2538016948128732	-0.6908554655635564
MorningPerson	1.1088938023042518	2.1748824099468256	2.9948739860388263
Hypothyroidism	0.5616400110156131	1.3143819049892176	1.5513219217627419
Heel_T_Score	2.469868165513379	2.5503386494359903	9.532592723964305
LDL	-0.40256076204173696	-1.172041343757039	4.335531030703562
YearsOfEd2	0.9772279199027112	0.6515451548254306	2.5153449102758154
FEV1_FVC_Ratio	1.7377021717979098	2.4481329051864438	-0.7747505180017717
HighCholesterol	-0.31477553171392264	-1.3851149879360865	-2.8011944383850844
PlateletCount	1.2309446235434274	-1.1332548807707323	1.7550667101301038
Eczema	1.1242401799498083	0.8381686350745493	14.20865622910017
DermDz	4.09289080274768	-0.7289309168763513	1.1611907143591809
Schizophrenia	0.2141440980760772	1.5492500468645074	3.0651217343481925
NumChildrenBorn	0.8276394662720686	0.4018450015031407	6.270641477028753
Neuroticism	0.5073243382022635	-0.494635398693985	-1.4986916656361915
FirstBirthAge	0.1698170134278927	-1.3333941355150791	2.557573502063708
HairColor	5.697327515074952	2.7973721486468746	0.1027791944012182
Height2	1.3201421015678871	1.070389971398155	0.8446609799669773
HDL	-1.1227607839755975	0.15562003418267167	-2.257626432323918
CrohnsDz	-0.06789555247583798	3.1101122962414016	-0.7622672364723247
FVC	1.6572291509053307	2.4134515956171243	9.242024197105133
SystolicBP	0.9201349770284616	0.4518813650432602	-1.4596909437451049
SmokingStatus	0.8777204408784723	0.8848328094445248	1.1236365551321252
RDW	1.0667890432882887	2.4353039286078464	-0.01481603389823808
T2D2	0.7633814628682	0.638242729166028	0.5413813182295273
BMI2	0.4896048718822538	0.7356805339601521	3.1810523525952457
DepressiveSxs	0.17937908431746932	-1.9860263186676852	-1.9788819366268924
WaistHipRatio	1.3233968917386585	1.5883641530762544	5.200394277763138
RBCCount	1.0251465399312316	0.621796510926757	0.6352454577068375
Resp_ENT_Dz	1.9305337551303907	-1.0833015384096598	5.086659916379127
AutoimmuneDz	0.7648392422588706	8.712719428290264	7.985963832720483
Tanning	8.148114931871946	-0.6664952331678599	9.441932814384467
Sunburn	4.336497530803412	1.1598728196531016	6.848480471378866
WBCCount	1.7123019558137245	2.7481390821933687	3.13405092583646
SkinColor	6.556167505092766	-0.0869286744221486	10.873303151534037
MenarcheAge	0.3581937098600006	2.0405575531099207	1.7810537950279584
ASD	0.8737226679741692	3.2914806956358884	-8.131713672273909
Balding	1.8197778717897275	3.3130938030070287	12.226545738175313
Anorexia	-4.292099344673286	2.047593058957897	-2.436745539147629
UC	0.8328079471267695	0.14562882027073745	-3.8930040823421623
